"Opayo Fraud Report", "Opayo Reporte de Fraude"
"Delete", "Borrar"
"A secure Opayo iframe will open for you to input credit card details.", "Se abrirá una página segura de Opayo para que ingreses los datos de tu tarjeta."
"is a Opayo approved partner","is a Opayo approved partner"
"Get a Opayo Account Now!","Get a Opayo Account Now!"
"Submit a ticket","Submit a ticket"
"Email us","Email us"
"Subscribe to our newsletter","Subscribe to our newsletter"
"Invalid signature. Please check Reporting API User and Password.","Firma invalida. Por favor, verifica el usuario y contraseña de Reporting."
"Do you wish to have your credit card details remembered for faster checkout next time?", "¿Desea que se recuerden los detalles de su tarjeta de crédito para un pago más rápido la próxima vez?"
"The customer was redirected to their bank page to complete 3D authentication. On this scenario two things can happen:", "El cliente fue redirigido a la página de su banco para completar la autenticación 3D. En este caso pueden pasar dos cosas:"
"- The customer completes the 3D check and the order status is updated.","- El cliente completa el chequeo del 3D y el estado de la orden se actualiza."
"- The customer does not complete 3D and the message will still be visible. For example, the customer does not remember their pin code.","- El cliente no completa el 3D y se seguirá viendo el mensaje. Por ejemplo, el cliente no recuerda su código pin."
"If after a few minutes the customer does not complete the order, you can click the Sync from API link to query Opayo for the latest information on this transaction.","Si luego de unos minutos el cliente no completa la orden, puedes clickear en el link de Sync from API para consultar a SagePay por la última información sobre esta transacción."
