"%1 Reviews","%1 Reviews"
"%1 Review","%1 Review"
"On Search Engine Results Page","On Search Engine Results Page"
"Rating: ","Rating: "
"In stock","In stock"
"Out of stock","Out of stock"
"Focus Keyword is included in meta title.","Focus Keyword is included in meta title."
"Focus Keyword is not included in meta title.","Focus Keyword is not included in meta title."
"Focus Keyword is included in the first paragraph.","Focus Keyword is included in the first paragraph."
"Focus Keyword is not included in the first paragraph.","Focus Keyword is not included in the first paragraph."
"Focus Keyword is included in meta description.","Focus Keyword is included in meta description."
"Focus Keyword is not included in meta description.","Focus Keyword is not included in meta description."
"Keyword Density is %1%, which is great; the focus keyword was found %2 times.","Keyword Density is %1%, which is great; the focus keyword was found %2 times."
"Keyword Density is %1% (Recommended: 1-3%); the focus keyword was found %2 times.","Keyword Density is %1% (Recommended: 1-3%); the focus keyword was found %2 times."
"Focus Keyword is included in the URL of this page.","Focus Keyword is included in the URL of this page."
"Focus Keyword should be contained in the URL of this page.","Focus Keyword should be contained in the URL of this page."
"Meta title length is adequate.","Meta title length is adequate."
"Meta title length is inadequate, you should add more meta title.","Meta title length is inadequate, you should add more meta title."
"Meta description length is adequate.","Meta description length is adequate."
"Meta description is inadequate, you should add more meta description.","Meta description is inadequate, you should add more meta description."
"Description contains %1 words, which is good.","Description contains %1 words, which is good."
"Description contains %1 words, which is inadequate (Recommended: equal or greater than 300 words).","Description contains %1 words, which is inadequate (Recommended: equal or greater than 300 words)."
"Description has NO outbound link.","Description has NO outbound link."
"Description has %1 outbound links.","Description has %1 outbound links."
"Description has %1 outbound links (Recommended: from 1 to 3 outbound links).","Description has %1 outbound links (Recommended: from 1 to 3 outbound links)."
"%1 product image(s) has(have) NO focus keyword in the description. You should implement it.","%1 product image(s) has(have) NO focus keyword in the description. You should implement it."
"Product image alts has focus keyword.","Product image alts has focus keyword."
"%1 image(s) don't contain the main keyword in the product description. You should implement it.","%1 image(s) don't contain the main keyword in the product description. You should implement it."
"Page Analysis","Page Analysis"
Enable,Enable

